"Freq [GHz]","dB(St(Microstrip_T1,Microstrip_T1)) []"
2.33,-7.92025839434685
2.34,-8.0261169750737
2.35,-8.13198085329659
2.36,-8.23781377396895
2.37,-8.34358005124181
2.38,-8.44924464716805
2.39,-8.55477324991073
2.4,-8.66013235120325
2.41,-8.7652893228
2.42,-8.87021249164741
2.43,-8.97487121349895
2.44,-9.07923594469149
2.45,-9.18327831179804
2.46,-9.2869711788695
2.47,-9.39028871197946
2.48,-9.49320644078902
2.49,-9.59570131685438
2.5,-9.69775176840791
2.51,-9.79933775135458
2.52,-9.90044079623885
2.53,-10.0010440509532
2.54,-10.1011323189783
2.55,-10.2006920929649
2.56,-10.2997115834919
2.57,-10.3981807428594
2.58,-10.4960912838024
2.59,-10.5934366930392
2.6,-10.6902122395994
2.61,-10.7864149779041
2.62,-10.882043745605
2.63,-10.9770991562165
2.64,-11.0715835866105
2.65,-11.1655011594671
2.66,-11.2588577208102
2.67,-11.3516608127804
2.68,-11.4439196418242
2.69,-11.5356450425056
2.7,-11.6268494371625
2.71,-11.7175467916569
2.72,-11.8077525674764
2.73,-11.8974836704661
2.74,-11.9867583964747
2.75,-12.0755963742109
2.76,-12.1640185056078
2.77,-12.252046903997
2.78,-12.339704830391
2.79,-12.4270166281703
2.8,-12.5140076564633
2.81,-12.6007042224971
2.82,-12.6871335131873
2.83,-12.7733235262182
2.84,-12.8593030008497
2.85,-12.9451013486688
2.86,-13.0307485844832
2.87,-13.1162752575337
2.88,-13.2017123831777
2.89,-13.287091375176
2.9,-13.3724439786861
2.91,-13.457802204044
2.92,-13.5431982613881
2.93,-13.6286644961545
2.94,-13.7142333254457
2.95,-13.7999371752492
2.96,-13.885808418455
2.97,-13.9718793135967
2.98,-14.0581819442122
2.99,-14.1447481586943
3,-14.2316095104783
3.01,-14.3187971983826
3.02,-14.4063420068964
3.03,-14.4942742461809
3.04,-14.5826236915235
3.05,-14.6714195219602
3.06,-14.7606902577514
3.07,-14.8504636963745
3.08,-14.9407668466626
3.09,-15.031625860697
3.1,-15.1230659630285
3.11,-15.2151113767746
3.12,-15.3077852461106
3.13,-15.4011095546405
3.14,-15.4951050391027
3.15,-15.5897910978344
3.16,-15.6851856933848
3.17,-15.7813052486344
3.18,-15.8781645357459
3.19,-15.9757765572379
3.2,-16.0741524184404
3.21,-16.1733011905632
3.22,-16.2732297635752
3.23,-16.3739426880707
3.24,-16.4754420052769
3.25,-16.5777270643393
3.26,-16.6807943260163
3.27,-16.7846371519158
3.28,-16.8892455784179
3.29,-16.9946060744617
3.3,-17.1007012824171
3.31,-17.2075097413371
3.32,-17.3150055919828
3.33,-17.4231582631433
3.34,-17.5319321389442
3.35,-17.6412862070529
3.36,-17.7511736879584
3.37,-17.8615416458316
3.38,-17.972330581873
3.39,-18.0834740115349
3.4,-18.1948980275711
3.41,-18.3065208515326
3.42,-18.4182523771033
3.43,-18.5299937095513
3.44,-18.6416367065796
3.45,-18.7530635269891
3.46,-18.8641461948087
3.47,-18.9747461879156
3.48,-19.0847140616204
3.49,-19.1938891192284
3.5,-19.3020991431618
3.51,-19.409160201788
3.52,-19.514876548598
3.53,-19.6190406317205
3.54,-19.7214332328553
3.55,-19.8218237554545
3.56,-19.9199706822304
3.57,-20.0156222217012
3.58,-20.1085171623416
3.59,-20.1983859508469
3.6,-20.2849520079153
3.61,-20.3679332906964
3.62,-20.4470441055843
3.63,-20.5219971683516
3.64,-20.5925059007926
3.65,-20.6582869442434
3.66,-20.719062860835
3.67,-20.7745649834874
3.68,-20.8245363659394
3.69,-20.8687347750822
3.7,-20.9069356601313
3.71,-20.9389350273458
3.72,-20.964552145657
3.73,-20.9836320081811
3.74,-20.996047477489
3.75,-21.0017010488033
3.76,-21.0005261748997
3.77,-20.9924881090357
3.78,-20.9775842371475
3.79,-20.9558438870559
3.8,-20.9273276196082
3.81,-20.8921260235707
3.82,-20.8503580517511
3.83,-20.8021689494179
3.84,-20.7477278369315
3.85,-20.6872250161661
3.86,-20.6208690745664
3.87,-20.5488838615883
3.88,-20.4715054100586
3.89,-20.3889788700918
3.9,-20.301555516137
3.91,-20.2094898791329
3.92,-20.1130370462054
3.93,-20.0124501604522
3.94,-19.9079781436221
3.95,-19.7998636553167
3.96,-19.6883412940517
3.97,-19.573636038294
3.98,-19.4559619195682
3.99,-19.3355209149194
4,-19.2125020423907
4.01,-19.087080640634
4.02,-18.9594178122036
4.03,-18.8296600093378
4.04,-18.6979387409792
4.05,-18.564370380265
4.06,-18.4290560526202
4.07,-18.2920815857756
4.08,-18.153517504427
4.09,-18.013419053762
4.1,-17.8718262376526
4.11,-17.7287638588995
4.12,-17.5842415504976
4.13,-17.4382537884654
4.14,-17.2907798783492
4.15,-17.1417839091133
4.16,-16.9912146698015
4.17,-16.8390055261726
4.18,-16.6850742565745
4.19,-16.5293228487522
4.2,-16.371637262258
4.21,-16.2118871648787
4.22,-16.0499256563161
4.23,-15.8855889986612
4.24,-15.7186963815317
4.25,-15.5490497608294
4.26,-15.3764338248964
4.27,-15.2006161617398
4.28,-15.0213477277511
4.29,-14.8383637543913
4.3,-14.6513852779588
4.31,-14.4601215432416
4.32,-14.2642736206083
4.33,-14.0635396959519
4.34,-13.8576226545855
4.35,-13.6462407976978
4.36,-13.4291428212005
4.37,-13.2061285737555
4.38,-12.9770776186893
4.39,-12.7419882786559
4.4,-12.5010306592631
4.41,-12.2546181190455
4.42,-12.0035027063271
4.43,-11.7489010171425
4.44,-11.4926572947431
4.45,-11.2374495127404
4.46,-10.9870401060658
4.47,-10.7465634765912
4.48,-10.5228241092873
4.49,-10.3245489941265
4.5,-10.1624962710372
4.51,-10.0492782754044
4.52,-9.99873824641179
4.53,-10.0247705791965
4.54,-10.1396352450142
4.55,-10.3520716126655
4.56,-10.66574457525
4.57,-11.0785719547279
4.58,-11.5831966054529
4.59,-12.1684172108746
4.6,-12.8210591298109
4.61,-13.5277285422353
4.62,-14.2760957540505
4.63,-15.0556153957818
4.64,-15.8577729896149
4.65,-16.6760158013706
4.66,-17.5055158725005
4.67,-18.3428711746567
4.68,-19.1858073569082
4.69,-20.0329098027062
4.7,-20.883395034487
4.71,-21.7369190438166
4.72,-22.5934144403355
4.73,-23.4529456864989
4.74,-24.3155703145664
4.75,-25.1811928343194
4.76,-26.0493964884139
4.77,-26.9192360012419
4.78,-27.7889724772565
4.79,-28.6557311066893
4.8,-29.5150665881138
4.81,-30.3604363760137
4.82,-31.18261807242
4.83,-31.9691770206844
4.84,-32.7041997001675
4.85,-33.3686351757496
4.86,-33.9416444411328
4.87,-34.4031878402542
4.88,-34.7375564465647
4.89,-34.9368195588008
4.9,-35.0027642364918
4.91,-34.9463903491997
4.92,-34.7852195111092
4.93,-34.5396680288202
4.94,-34.229831731076
4.95,-33.8734156013533
4.96,-33.4848471238231
4.97,-33.0752354890935
4.98,-32.6527824142165
4.99,-32.2233515213608
5,-31.7910289817182
5.01,-31.3586019087173
5.02,-30.9279355732468
5.03,-30.5002564944872
5.04,-30.0763578203172
5.05,-29.6567445925842
5.06,-29.241734338044
5.07,-28.8315253503841
5.08,-28.426242078166
5.09,-28.0259645684918
5.1,-27.6307469912275
5.11,-27.2406288209647
5.12,-26.8556411898324
5.13,-26.4758101537882
5.14,-26.1011580632807
5.15,-25.7317038378186
5.16,-25.3674626690601
5.17,-25.0084454860244
5.18,-24.6546583851021
5.19,-24.3061021393659
5.2,-23.9627718436493
5.21,-23.624656714893
5.22,-23.2917400447896
5.23,-22.9639992891179
5.24,-22.6414062720114
5.25,-22.3239274814363
5.26,-22.0115244327172
5.27,-21.7041540789761
5.28,-21.4017692500784
5.29,-21.1043191046516
5.3,-20.8117495826668
5.31,-20.5240038487689
5.32,-20.241022718937
5.33,-19.9627450651103
5.34,-19.6891081941354
5.35,-19.4200481987954
5.36,-19.1555002798035
5.37,-18.8953990385232
5.38,-18.6396787408416
5.39,-18.3882735531199
5.4,-18.1411177514923
5.41,-17.8981459060228
5.42,-17.6592930413696
5.43,-17.4244947756841
5.44,-17.1936874394845
5.45,-16.9668081762265
5.46,-16.7437950262366
5.47,-16.5245869956054
5.48,-16.3091241115474
5.49,-16.0973474656422
5.5,-15.8891992462718
5.51,-15.6626662741989
5.52,-15.4395775585761
5.53,-15.2199742513854
5.54,-15.0038928818654
5.55,-14.7913655992768
5.56,-14.5824203701032
5.57,-14.3770811360198
5.58,-14.1753679385396
5.59,-13.9772970158376
5.6,-13.7828808768588
5.61,-13.5921283574271
5.62,-13.4050446627014
5.63,-13.2216313999547
5.64,-13.0418866052911
5.65,-12.8658047675654
5.66,-12.6933768524124
5.67,-12.5245903289539
5.68,-12.3594292014069
5.69,-12.1978740474821
5.7,-12.0399020651341
5.71,-11.8854871289038
5.72,-11.7345998567859
5.73,-11.5872076882554
5.74,-11.4432749738073
5.75,-11.3027630760992
5.76,-11.1656304825392
5.77,-11.0318329289423
5.78,-10.9013235336729
5.79,-10.774052941521
5.8,-10.6499694764046
5.81,-10.5290193018706
5.82,-10.4111465882675
5.83,-10.2962936853906
5.84,-10.1844012993573
5.85,-10.0754086724436
5.86,-9.96925376461644
5.87,-9.86587343551449
5.88,-9.76520362567251
5.89,-9.66717953583601
5.9,-9.57173580328551
5.91,-9.47880667416841
5.92,-9.38832617092736
5.93,-9.30022825400923
5.94,-9.21444697713965
5.95,-9.13091663555121
5.96,-9.04957190665495
5.97,-8.97034798274738
5.98,-8.89318069544247
5.99,-8.81800663161261
6,-8.74476324071052
6.01,-8.67338893342684
6.02,-8.60382317171322
6.03,-8.53600655026904
6.04,-8.46988086965085
6.05,-8.40538920121647
6.06,-8.34247594416174
6.07,-8.28108687494628
6.08,-8.221169189436
6.09,-8.16267153811539
6.1,-8.10554405474093
6.11,-8.04973837882052
6.12,-7.99520767231127
6.13,-7.9419066309318
6.14,-7.88979149048389
6.15,-7.83882002857417
6.16,-7.78895156211873
6.17,-7.74014694100373
6.18,-7.69236853826198
6.19,-7.64558023711218
6.2,-7.59974741519115
6.21,-7.55483692629308
6.22,-7.51081707991269
6.23,-7.46765761887085
6.24,-7.4253296952835
6.25,-7.38380584511673
6.26,-7.34305996155251
6.27,-7.30306726737272
6.28,-7.26380428655117
6.29,-7.22524881522745
6.3,-7.18737989222007
6.31,-7.15017776922124
6.32,-7.11362388080108
6.33,-7.07770081433531
6.34,-7.04239227995751
6.35,-7.00768308062476
6.36,-6.97355908237403
6.37,-6.94000718483632
6.38,-6.9070152920651
6.39,-6.87457228372696
6.4,-6.84266798669348
6.41,-6.81129314706569
6.42,-6.78043940265516
6.43,-6.75009925593903
6.44,-6.72026604750047
6.45,-6.69093392995984
6.46,-6.66209784239732
6.47,-6.63375348526229
6.48,-6.60589729576079
6.49,-6.57852642370783
6.5,-6.55163870782762
6.51,-6.52523265248079
6.52,-6.49930740479416
6.53,-6.47386273216483
6.54,-6.44889900010678
6.55,-6.42441715040446
6.56,-6.40041867953357
6.57,-6.37690561730539
6.58,-6.35388050568604
6.59,-6.3313463777371
6.6,-6.30930673661816
6.61,-6.28776553458542
6.62,-6.26672715191309
6.63,-6.24619637565584
6.64,-6.22617837816099
6.65,-6.20667869522821
6.66,-6.18770320380185
6.67,-6.16925809906706
6.68,-6.15134987080473
6.69,-6.13398527884266
6.7,-6.11717132742048
6.71,-6.10091523826441
6.72,-6.08522442214493
6.73,-6.07010644866622
6.74,-6.05556901401166
6.75,-6.04161990634647
6.76,-6.02826696855725
6.77,-6.01551805799296
6.78,-6.00338100286519
6.79,-5.9918635549724
6.8,-5.98097333844106
6.81,-5.97071779423329
6.82,-5.96110412026837
6.83,-5.9521392071591
6.84,-5.94382956979028
6.85,-5.93618127528938
6.86,-5.92919986838387
6.87,-5.92289029573575
6.88,-5.91725683162315
6.89,-5.91230300833392
6.9,-5.90803155587034
6.91,-5.90444435705406
6.92,-5.9015424258526
6.93,-5.89932591867655
6.94,-5.89779419041265
6.95,-5.89694590887752
6.96,-5.89677924291341
6.97,-5.89729214009791
6.98,-5.89848270948269
6.99,-5.90034972229755
7,-5.90289323851878
7.01,-5.90611535906618
7.02,-5.91002109191001
7.03,-5.91461930580193
7.04,-5.9199237287088
7.05,-5.92595393126206
7.06,-5.93273622147606
7.07,-5.94030436908979
7.08,-5.94870007958547
7.09,-5.95797315175262
7.1,-5.96818127920294
7.11,-5.97938949346021
7.12,-5.99166928932082
7.13,-6.00509751519525
7.14,-6.01975514458021
7.15,-6.03572606343139
7.16,-6.05309600869307
7.17,-6.07195177607864
7.18,-6.09238078442826
7.19,-6.11447104597791
7.2,-6.13831155363731
7.21,-6.16399306381433
7.22,-6.19160923021119
7.23,-6.22125803162712
7.24,-6.25304343424182
7.25,-6.2870772337742
7.26,-6.32348103231054
7.27,-6.36238831547334
7.28,-6.40394660534926
7.29,-6.44831967113046
7.3,-6.49568978110802
7.31,-6.54625997508083
7.32,-6.60025632394928
7.33,-6.6579301214405
7.34,-6.71955991909313
7.35,-6.78545326639524
7.36,-6.85594794865583
7.37,-6.93141241964212
7.38,-7.0122449964225
7.39,-7.09887121082178
7.4,-7.19173848499533
7.41,-7.29130700789401
7.42,-7.39803532853938
7.43,-7.51235875462474
7.44,-7.63465817538622
7.45,-7.7652164793089
7.46,-7.90415944033773
7.47,-8.05137803702179
7.48,-8.20643003553605
7.49,-8.36842088629192
7.5,-8.53586830418482
7.51,-8.70656209498268
7.52,-8.87744122879806
7.53,-9.04452300777083
7.54,-9.20293119797106
7.55,-9.34707455297517
7.56,-9.47101471192944
7.57,-9.56902457954767
7.58,-9.63627581193877
7.59,-9.66952532855364
7.6,-9.66763074126574
7.61,-9.63174654243548
7.62,-9.56514117197131
7.63,-9.4726930187183
7.64,-9.36021409655399
7.65,-9.23377534681112
7.66,-9.09916991378531
7.67,-8.96158302082372
7.68,-8.82547447442336
7.69,-8.6946408134393
7.7,-8.57240788639617
7.71,-8.46189795708678
7.72,-8.3662997305126
7.73,-8.28902710131588
7.74,-8.23358051353419
7.75,-8.20287528919371
7.76,-8.1979289438557
7.77,-8.21629408771224
7.78,-8.2513279751016
7.79,-8.29343436338129
7.8,-8.33306463055957
7.81,-8.36362701299419
7.82,-8.38256763236971
7.83,-8.39057361141339
7.84,-8.39003414247352
