"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3.76,0,-110,0.05243215106033
3.76,0,-109,0.0461371391154814
3.76,0,-108,0.0403297519546579
3.76,0,-107,0.0349902446976667
3.76,0,-106,0.0300996361403906
3.76,0,-105,0.0256397665758065
3.76,0,-104,0.0215933498942516
3.76,0,-103,0.0179440202040609
3.76,0,-102,0.0146763732343102
3.76,0,-101,0.0117760027971957
3.76,0,-100,0.00922953259851324
3.76,0,-99,0.00702464369075454
3.76,0,-98,0.00515009786454581
3.76,0,-97,0.00359575727063349
3.76,0,-96,0.00235260055649866
3.76,0,-95,0.00141273578917369
3.76,0,-94,0.00076941041919601
3.76,0,-93,0.000417018520153732
3.76,0,-92,0.000351105514327997
3.76,0,-91,0.000568370567889829
3.76,0,-90,0.00106666680940926
3.76,0,-89,0.00184499949353931
3.76,0,-88,0.00290352219814064
3.76,0,-87,0.00424353110832686
3.76,0,-86,0.00586745740546256
3.76,0,-85,0.0077788577435741
3.76,0,-84,0.00998240276046763
3.76,0,-83,0.0124838635366293
3.76,0,-82,0.0152900958822154
3.76,0,-81,0.0184090223016316
3.76,0,-80,0.0218496114568184
3.76,0,-79,0.0256218549248385
3.76,0,-78,0.0297367410231119
3.76,0,-77,0.0342062254570251
3.76,0,-76,0.0390431985299511
3.76,0,-75,0.0442614486452521
3.76,0,-74,0.0498756218237886
3.76,0,-73,0.0559011769590078
3.76,0,-72,0.0623543365349531
3.76,0,-71,0.0692520325405735
3.76,0,-70,0.0766118473265769
3.76,0,-69,0.0844519491687174
3.76,0,-68,0.0927910223237837
3.76,0,-67,0.101648191391604
3.76,0,-66,0.11104293982793
3.76,0,-65,0.120995022489019
3.76,0,-64,0.131524372128918
3.76,0,-63,0.142650999814646
3.76,0,-62,0.15439488927257
3.76,0,-61,0.166775885230937
3.76,0,-60,0.179813575878686
3.76,0,-59,0.193527169618948
3.76,0,-58,0.207935366356867
3.76,0,-57,0.223056223625285
