"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
4.9,0,-45,-7.94497025508731
4.9,0,-44,-7.59764262474122
4.9,0,-43,-7.25401358537673
4.9,0,-42,-6.9143319899689
4.9,0,-41,-6.57882648148904
4.9,0,-40,-6.24770670823452
4.9,0,-39,-5.92116452607764
4.9,0,-38,-5.59937517430883
4.9,0,-37,-5.28249841465472
4.9,0,-36,-4.97067962558156
4.9,0,-35,-4.66405084616819
4.9,0,-34,-4.3627317656768
4.9,0,-33,-4.06683065649286
4.9,0,-32,-3.77644524938096
4.9,0,-31,-3.49166355103941
4.9,0,-30,-3.2125646047665
4.9,0,-29,-2.93921919570165
4.9,0,-28,-2.67169050260256
4.9,0,-27,-2.41003469848886
4.9,0,-26,-2.15430150274369
4.9,0,-25,-1.90453468743823
4.9,0,-24,-1.66077254074313
4.9,0,-23,-1.42304829033308
4.9,0,-22,-1.19139048968503
4.9,0,-21,-0.965823370129462
4.9,0,-20,-0.746367161444092
4.9,0,-19,-0.533038383689332
4.9,0,-18,-0.325850112878889
4.9,0,-17,-0.124812222963439
4.9,0,-16,0.0700683935175902
4.9,0,-15,0.258787623886555
4.9,0,-14,0.441343950778243
4.9,0,-13,0.617738282614451
4.9,0,-12,0.7879737972504
4.9,0,-11,0.952055797061986
4.9,0,-10,1.10999157385954
4.9,0,-9,1.2617902821269
4.9,0,-8,1.4074628191919
4.9,0,-7,1.547021711038
4.9,0,-6,1.68048100256485
4.9,0,-5,1.80785615119885
4.9,0,-4,1.9291639228438
4.9,0,-3,2.04442228924544
4.9,0,-2,2.1536503259237
4.9,0,-1,2.25686810990136
4.9,0,0,2.35409661652924
4.9,0,1,2.4453576147746
4.9,0,2,2.53067356040246
4.9,0,3,2.61006748653789
4.9,0,4,2.68356289115196
4.9,0,5,2.75118362106381
4.9,0,6,2.81295375209714
4.9,0,7,2.86889746506965
4.9,0,8,2.91903891733024
4.9,0,9,2.963402109588
4.9,0,10,3.00201074780229
4.9,0,11,3.03488809991991
4.9,0,12,3.06205684725723
4.9,0,13,3.08353893032765
4.9,0,14,3.09935538891056
4.9,0,15,3.10952619614393
4.9,0,16,3.11407008639967
4.9,0,17,3.11300437666751
4.9,0,18,3.10634478112859
4.9,0,19,3.09410521854371
4.9,0,20,3.07629761201233
4.9,0,21,3.05293168057562
4.9,0,22,3.02401472203997
4.9,0,23,2.98955138628444
4.9,0,24,2.94954343818598
4.9,0,25,2.90398950914879
4.9,0,26,2.85288483605624
4.9,0,27,2.7962209862753
4.9,0,28,2.73398556713079
4.9,0,29,2.66616191802786
4.9,0,30,2.59272878313404
4.9,0,31,2.51365996223159
4.9,0,32,2.42892393701384
4.9,0,33,2.33848346971998
4.9,0,34,2.24229517057497
4.9,0,35,2.14030903001785
4.9,0,36,2.03246791115243
4.9,0,37,1.9187069972296
4.9,0,38,1.79895318825539
4.9,0,39,1.67312443999806
4.9,0,40,1.54112903772078
4.9,0,41,1.40286479587028
4.9,0,42,1.25821817367688
4.9,0,43,1.10706329513192
4.9,0,44,0.949260860062807
4.9,0,45,0.78465693096912
4.9,0,46,0.613081577852414
4.9,0,47,0.434347360386793
4.9,0,48,0.248247623338983
4.9,0,49,0.0545545770336531
4.9,0,50,-0.146982870279738
4.9,0,51,-0.35664156725733
4.9,0,52,-0.57472690779539
4.9,0,53,-0.801576007935688
4.9,0,54,-1.03756133709705
4.9,0,55,-1.28309488248433
4.9,0,56,-1.53863294163803
4.9,0,57,-1.80468165799271
4.9,0,58,-2.08180343900583
4.9,0,59,-2.37062442717636
4.9,0,60,-2.67184323273522
4.9,0,61,-2.98624118506063
4.9,0,62,-3.31469442064631
4.9,0,63,-3.65818820215489
4.9,0,64,-4.0178339600282
4.9,0,65,-4.39488967058974
4.9,0,66,-4.7907843387983
4.9,0,67,-5.20714754657056
4.9,0,68,-5.6458452649136
4.9,0,69,-6.1090234120447
4.9,0,70,-6.5991609607811
4.9,0,71,-7.1191347189778
4.9,0,72,-7.67229812334131
4.9,0,73,-8.26257624836959
4.9,0,74,-8.89457815610723
4.9,0,75,-9.57372437125671
4.9,0,76,-10.3063786358137
4.9,0,77,-11.0999522316267
4.9,0,78,-11.9628999021344
4.9,0,79,-12.904410754458
4.9,0,80,-13.9333260542969
4.9,0,81,-15.0551847229502
4.9,0,82,-16.2648987599969
4.9,0,83,-17.5299528608638
4.9,0,84,-18.7570352555975
4.9,0,85,-19.7482122898218
4.9,0,86,-20.215995523192
4.9,0,87,-19.969224613239
4.9,0,88,-19.1119667848694
4.9,0,89,-17.9289493488046
4.9,0,90,-16.6559893683676
4.9,0,91,-15.4165003742011
4.9,0,92,-14.258367696282
4.9,0,93,-13.1931712676011
4.9,0,94,-12.2177229919999
4.9,0,95,-11.3237882806478
4.9,0,96,-10.5021024341913
4.9,0,97,-9.74390032559091
4.9,0,98,-9.04140768014074
4.9,0,99,-8.38791506786455
4.9,0,100,-7.77769659370312
4.9,0,101,-7.20588209225836
4.9,0,102,-6.66832638935366
4.9,0,103,-6.16149146861253
4.9,0,104,-5.68234578798051
4.9,0,105,-5.22828037063639
4.9,0,106,-4.79703967546253
4.9,0,107,-4.38666489408922
4.9,0,108,-3.99544745996512
4.9,0,109,-3.62189085754602
4.9,0,110,-3.26467914696687
4.9,0,111,-2.9226509177222
4.9,0,112,-2.59477763770271
4.9,0,113,-2.28014557082876
4.9,0,114,-1.97794060270666
4.9,0,115,-1.68743544594568
4.9,0,116,-1.40797880150126
4.9,0,117,-1.13898613526808
4.9,0,118,-0.879931794757397
4.9,0,119,-0.630342242757024
4.9,0,120,-0.389790226306677
4.9,0,121,-0.157889732412432
4.9,0,122,0.0657083915502978
4.9,0,123,0.281320253447982
4.9,0,124,0.48923225146695
4.9,0,125,0.689703998116701
4.9,0,126,0.882970891217613
4.9,0,127,1.06924638061092
4.9,0,128,1.24872397167666
4.9,0,129,1.42157900044019
4.9,0,130,1.58797020983281
4.9,0,131,1.74804115234356
4.9,0,132,1.9019214406928
4.9,0,133,2.04972786514307
4.9,0,134,2.19156539353255
4.9,0,135,2.3275280679849
4.9,0,136,2.45769981044708
4.9,0,137,2.58215514767645
4.9,0,138,2.70095986499326
4.9,0,139,2.81417159699659
4.9,0,140,2.92184036247906
4.9,0,141,3.02400904994228
4.9,0,142,3.12071385938908
4.9,0,143,3.21198470543372
4.9,0,144,3.29784558621035
4.9,0,145,3.37831492206396
4.9,0,146,3.45340586756393
4.9,0,147,3.52312659998211
4.9,0,148,3.58748058701696
4.9,0,149,3.64646683621813
4.9,0,150,3.70008012826666
4.9,0,151,3.74831123599173
4.9,0,152,3.79114713075251
4.9,0,153,3.8285711775807
4.9,0,154,3.86056332026416
4.9,0,155,3.88710025735308
4.9,0,156,3.9081556098862
4.9,0,157,3.92370008146492
4.9,0,158,3.9337016111465
4.9,0,159,3.93812551948412
4.9,0,160,3.93693464790967
4.9,0,161,3.93008949153504
4.9,0,162,3.9175483253385
4.9,0,163,3.89926732360378
4.9,0,164,3.87520067239032
4.9,0,165,3.84530067473275
4.9,0,166,3.80951784819594
4.9,0,167,3.76780101434733
4.9,0,168,3.72009737965001
4.9,0,169,3.66635260722816
4.9,0,170,3.60651087890818
4.9,0,171,3.54051494689518
4.9,0,172,3.46830617440232
4.9,0,173,3.38982456451066
4.9,0,174,3.30500877649643
4.9,0,175,3.21379612882182
4.9,0,176,3.11612258794137
4.9,0,177,3.01192274202889
4.9,0,178,2.9011297586774
4.9,0,179,2.78367532556537
4.9,0,180,2.65948957301578
4.9,90,-180,2.65948957301577
4.9,90,-179,2.65748059894718
4.9,90,-178,2.65382847530303
4.9,90,-177,2.64854095100214
4.9,90,-176,2.64162833329222
4.9,90,-175,2.63310343439352
4.9,90,-174,2.62298150897585
4.9,90,-173,2.61128018301142
4.9,90,-172,2.59801937462035
4.9,90,-171,2.58322120759328
4.9,90,-170,2.56690991833744
4.9,90,-169,2.54911175704611
4.9,90,-168,2.52985488393658
4.9,90,-167,2.5091692614383
4.9,90,-166,2.48708654323873
4.9,90,-165,2.46363996111091
4.9,90,-164,2.43886421045184
4.9,90,-163,2.41279533545524
4.9,90,-162,2.38547061482576
4.9,90,-161,2.35692844891441
4.9,90,-160,2.32720824911703
4.9,90,-159,2.29635033032964
4.9,90,-158,2.26439580719748
4.9,90,-157,2.23138649482865
4.9,90,-156,2.19736481456998
4.9,90,-155,2.16237370536343
4.9,90,-154,2.12645654111648
4.9,90,-153,2.08965705443158
4.9,90,-152,2.05201926694932
4.9,90,-151,2.01358742646806
4.9,90,-150,1.97440595091192
4.9,90,-149,1.93451937912977
4.9,90,-148,1.89397232842202
4.9,90,-147,1.85280945861016
4.9,90,-146,1.81107544238818
4.9,90,-145,1.76881494162497
4.9,90,-144,1.72607258922431
4.9,90,-143,1.68289297609384
4.9,90,-142,1.63932064272803
